DATA;HORA;CONSUM (Wh)
2016-08-13;8;527
2016-08-13;9;343
2016-08-13;10;1024
2016-08-13;11;1508
2016-08-13;12;752
2016-08-13;13;703
2016-08-13;14;699
2016-08-13;15;563
2016-08-13;16;529
2016-08-13;17;463
2016-08-13;18;610
2016-08-13;19;495
2016-08-13;20;621
2016-08-13;21;808
2016-08-13;22;530
2016-08-13;23;492
;;
2016-08-14;0;450
2016-08-14;1;455
2016-08-14;2;473
2016-08-14;3;418
2016-08-14;4;477
2016-08-14;5;444
2016-08-14;6;448
2016-08-14;7;529
2016-08-14;8;1357
2016-08-14;9;911
2016-08-14;10;391
2016-08-14;11;1747
2016-08-14;12;2024
2016-08-14;13;1627
2016-08-14;14;1521
2016-08-14;15;1609
2016-08-14;16;747
2016-08-14;17;629
2016-08-14;18;719
2016-08-14;19;862
2016-08-14;20;850
2016-08-14;21;738
2016-08-14;22;1328
2016-08-14;23;1371
;;
2016-08-15;0;1184
2016-08-15;1;1010
2016-08-15;2;836
2016-08-15;3;620
2016-08-15;4;457
2016-08-15;5;423
2016-08-15;6;448
2016-08-15;7;639
2016-08-15;8;683
2016-08-15;9;687
2016-08-15;10;716
2016-08-15;11;631
2016-08-15;12;842
2016-08-15;13;531
2016-08-15;14;413
2016-08-15;15;458
2016-08-15;16;444
2016-08-15;17;523
2016-08-15;18;507
2016-08-15;19;514
2016-08-15;20;608
2016-08-15;21;1566
2016-08-15;22;1318
2016-08-15;23;853
;;
2016-08-16;0;566
2016-08-16;1;465
2016-08-16;2;458
2016-08-16;3;456
2016-08-16;4;429
2016-08-16;5;431
2016-08-16;6;436
2016-08-16;7;1234
2016-08-16;8;564
2016-08-16;9;392
2016-08-16;10;414
2016-08-16;11;424
2016-08-16;12;387
2016-08-16;13;426
2016-08-16;14;409
2016-08-16;15;505
2016-08-16;16;395
2016-08-16;17;894
2016-08-16;18;3232
2016-08-16;19;1140
2016-08-16;20;1168
2016-08-16;21;1065
2016-08-16;22;659
2016-08-16;23;438
;;
2016-08-17;0;491
2016-08-17;1;418
2016-08-17;2;446
2016-08-17;3;419
2016-08-17;4;445
2016-08-17;5;502
2016-08-17;6;431
2016-08-17;7;505
2016-08-17;8;1224
2016-08-17;9;1067
2016-08-17;10;542
2016-08-17;11;1420
2016-08-17;12;2414
2016-08-17;13;952
2016-08-17;14;1030
2016-08-17;15;518
2016-08-17;16;502
2016-08-17;17;458
2016-08-17;18;456
2016-08-17;19;497
2016-08-17;20;1360
2016-08-17;21;1314
2016-08-17;22;565
2016-08-17;23;573
;;
2016-08-18;0;453
2016-08-18;1;447
2016-08-18;2;424
2016-08-18;3;438
2016-08-18;4;490
2016-08-18;5;507
2016-08-18;6;405
2016-08-18;7;669
2016-08-18;8;1210
2016-08-18;9;731
2016-08-18;10;1025
2016-08-18;11;2214
2016-08-18;12;2299
2016-08-18;13;1564
2016-08-18;14;836
2016-08-18;15;488
2016-08-18;16;535
2016-08-18;17;523
2016-08-18;18;1315
2016-08-18;19;2391
2016-08-18;20;2302
2016-08-18;21;1699
2016-08-18;22;1220
2016-08-18;23;958
;;
2016-08-19;0;487
2016-08-19;1;429
2016-08-19;2;518
2016-08-19;3;433
2016-08-19;4;501
2016-08-19;5;450
2016-08-19;6;512
2016-08-19;7;621
2016-08-19;8;782
2016-08-19;9;673
2016-08-19;10;478
2016-08-19;11;425
2016-08-19;12;480
2016-08-19;13;483
2016-08-19;14;414
2016-08-19;15;446
2016-08-19;16;424
2016-08-19;17;575
2016-08-19;18;565
2016-08-19;19;876
2016-08-19;20;709
2016-08-19;21;464
2016-08-19;22;498
2016-08-19;23;455
;;
2016-08-20;0;439
2016-08-20;1;473
2016-08-20;2;468
2016-08-20;3;468
2016-08-20;4;431
2016-08-20;5;474
2016-08-20;6;422
2016-08-20;7;443
2016-08-20;8;422
2016-08-20;9;436
2016-08-20;10;448
2016-08-20;11;405
2016-08-20;12;503
2016-08-20;13;390
2016-08-20;14;456
2016-08-20;15;417
2016-08-20;16;456
2016-08-20;17;430
2016-08-20;18;439
2016-08-20;19;611
2016-08-20;20;1816
2016-08-20;21;1164
2016-08-20;22;747
2016-08-20;23;458
;;
2016-08-21;0;477
2016-08-21;1;420
2016-08-21;2;466
2016-08-21;3;392
2016-08-21;4;460
2016-08-21;5;385
2016-08-21;6;454
2016-08-21;7;650
2016-08-21;8;536
2016-08-21;9;908
2016-08-21;10;465
2016-08-21;11;816
2016-08-21;12;760
2016-08-21;13;677
2016-08-21;14;485
2016-08-21;15;487
2016-08-21;16;476
2016-08-21;17;489
2016-08-21;18;486
2016-08-21;19;931
2016-08-21;20;3396
2016-08-21;21;1767
2016-08-21;22;786
2016-08-21;23;524
;;
2016-08-22;0;449
2016-08-22;1;451
2016-08-22;2;406
2016-08-22;3;450
2016-08-22;4;428
2016-08-22;5;565
2016-08-22;6;403
2016-08-22;7;727
2016-08-22;8;522
2016-08-22;9;1253
2016-08-22;10;615
2016-08-22;11;743
2016-08-22;12;500
2016-08-22;13;519
2016-08-22;14;429
2016-08-22;15;468
2016-08-22;16;434
2016-08-22;17;480
2016-08-22;18;481
2016-08-22;19;547
2016-08-22;20;1352
2016-08-22;21;1093
2016-08-22;22;524
2016-08-22;23;459
;;
2016-08-23;0;491
2016-08-23;1;471
2016-08-23;2;413
2016-08-23;3;459
2016-08-23;4;459
2016-08-23;5;413
2016-08-23;6;419
2016-08-23;7;639
2016-08-23;8;517
2016-08-23;9;646
2016-08-23;10;1214
2016-08-23;11;449
2016-08-23;12;1390
2016-08-23;13;805
2016-08-23;14;826
2016-08-23;15;1220
2016-08-23;16;1649
2016-08-23;17;1867
2016-08-23;18;2687
2016-08-23;19;1455
2016-08-23;20;1487
2016-08-23;21;1037
2016-08-23;22;464
2016-08-23;23;503
;;
2016-08-24;0;472
2016-08-24;1;457
2016-08-24;2;481
2016-08-24;3;453
2016-08-24;4;452
2016-08-24;5;465
2016-08-24;6;476
2016-08-24;7;618
2016-08-24;8;451
2016-08-24;9;394
2016-08-24;10;339
2016-08-24;11;1239
2016-08-24;12;1261
2016-08-24;13;814
2016-08-24;14;576
2016-08-24;15;545
2016-08-24;16;529
2016-08-24;17;472
2016-08-24;18;481
2016-08-24;19;1661
2016-08-24;20;1499
2016-08-24;21;857
2016-08-24;22;541
2016-08-24;23;481
;;
2016-08-25;0;482
2016-08-25;1;502
2016-08-25;2;456
2016-08-25;3;480
2016-08-25;4;487
2016-08-25;5;511
2016-08-25;6;446
2016-08-25;7;1338
2016-08-25;8;772
2016-08-25;9;856
2016-08-25;10;615
2016-08-25;11;565
2016-08-25;12;1332
2016-08-25;13;1565
2016-08-25;14;522
2016-08-25;15;1279
